Sigla,País,Ano,Region,IncomeGroup,Continente,Cultural Demand,Cultural Resources,Geographic Dispersion,Natural Resources,Natural Demand,Non Leisure Resources,Non Leisure Demand,Openness to Tourism,Prioritization of Tourism,Air Transport Infrastructure,Ground and Port Infrastructure,T&T Employment Multiplier,T&T GDP Multiplier,T&T Government Expenditure - % of Government Budget,T&T High-Wage Jobs -  % of Employment in High Wage Sectors,Domestic T&T spending - % of Internal T&T Spending,T&T industry Share of GDP - % of total GDP,T&T industry GDP
AGO,Angola,2019,Sub-Saharan Africa,Lower middle income,AF,1.1384445,1.2096111,2.6071429,3.0034017,1.0575875,1.2705337,1.0529732,2.1996589,3.6185928,2.22603,1.8166639,4.7566565,4.6809241,1.672798,6.0759379,64.451124,1.352497,1328.002
AGO,Angola,2021,Sub-Saharan Africa,Lower middle income,AF,1.2086106,1.2021526,2.6071429,3.011914,1.0997298,1.2636805,1.1131511,2.2084694,3.1262098,2.2064826,1.9583175,5.6173789,5.0131621,1.676422,5.7219583,85.1203652,0.5739749,369.588315
AGO,Angola,2024,Sub-Saharan Africa,Lower middle income,AF,1.1664278,1.191607,2.5230717,3.100873,1.1083572,1.2496477,1.05702,2.5843277,2.3933536,2.25406,1.9829012,6.2045462,5.2249417,1.6800607,5.7219583,99.0601358,0.7961305,1005.79333
ALB,Albania,2019,Europe & Central Asia,Upper middle income,EU,1.2208273,1.2052068,5.2624998,1.9077514,1.5518937,1.4051846,1.1255942,3.5590383,4.9496682,2.6954833,3.0471975,4.2201703,4.3264594,3.3825064,1.7802365,22.9020123,8.795226,1378.579
ALB,Albania,2021,Europe & Central Asia,Upper middle income,EU,1.2366552,1.2216638,5.2624998,2.1092619,2.0189928,1.4304037,1.1388798,3.6090383,5.0150747,2.6687665,3.041096,3.6910468,3.6991532,3.4030114,1.7928266,24.9358413,4.5386486,668.4102
ALB,Albania,2024,Europe & Central Asia,Upper middle income,EU,1.3055977,1.2888994,5.1870885,2.1674231,2.2618698,1.5241848,1.2033823,4.5574842,5.1864565,3.2297083,3.3317614,3.0922551,3.0163349,3.4241256,1.7928266,19.9885609,9.384915,1703.39429
ARG,Argentina,2019,Latin America & Caribbean,Upper middle income,SA,2.747863,3.3536324,2.6623425,4.3764046,1.6530575,2.7112235,1.6657011,4.1825964,4.7092841,3.4950201,2.7002038,4.1604877,4.029897,2.497573,3.8031417,85.9870443,3.71984,19130.88
ARG,Argentina,2021,Latin America & Caribbean,Upper middle income,SA,2.3875526,3.3135548,2.6623425,4.4773149,1.9202529,2.6749055,1.8247584,4.1825964,4.5387672,3.0741338,2.8205476,4.5148442,4.0334779,2.5030513,3.9492271,91.7390297,2.3463077,8781.125
ARG,Argentina,2024,Latin America & Caribbean,Upper middle income,SA,2.19906,3.2914317,3.0053212,4.5222902,2.0116178,2.6647521,1.9293191,4.1614627,4.7709051,3.2096566,2.8305999,5.0971007,4.0402639,2.5083306,3.9492271,90.2508467,3.00608,18853.5786
ARM,Armenia,2019,Europe & Central Asia,Upper middle income,AS,1.3609421,1.4152355,3.5660377,1.4400925,1.0777887,1.2559177,1.2411255,4.0313683,4.6460152,3.0174815,2.8705686,5.4351137,5.2511238,3.2796634,1.5706456,17.1314856,3.928393,502.7543
ARM,Armenia,2021,Europe & Central Asia,Upper middle income,AS,1.3234391,1.5058598,3.5660377,1.474183,1.2044354,1.3608776,1.1868624,3.5890501,4.7547574,2.7408745,2.7767855,4.7664006,4.4493207,3.293362,1.9103494,32.7708779,1.2769558,169.443339
ARM,Armenia,2024,Europe & Central Asia,Upper middle income,AS,1.3026372,1.5006593,3.2368277,1.4840616,1.1923757,1.3863986,1.1354888,3.3308927,4.7651452,3.0463112,2.8111649,3.9045158,3.5565718,3.3071429,1.9103494,11.9202183,5.2590957,1021.10362
AUS,Australia,2019,East Asia & Pacific,High income,OC,3.4891475,3.4139536,3.4029851,6.2595994,3.2979969,5.4556681,4.537211,4.8147492,4.9774232,5.9392235,3.5142889,3.6526848,6.3626741,3.3927844,2.363441,76.1356719,3.004889,42562.39
AUS,Australia,2021,East Asia & Pacific,High income,OC,2.7115778,3.5778944,3.4029851,6.4452013,4.2260067,5.3966039,4.8750628,5.340823,4.8094004,4.8822724,3.6000073,3.606644,6.5875526,2.5783392,2.8071686,91.009535,1.5486933,20895.9522
AUS,Australia,2024,East Asia & Pacific,High income,OC,2.8333936,3.7750151,4.663676,6.4224087,4.1120434,5.0897251,4.0788867,4.8477847,4.8996883,5.2272454,3.6757644,3.6942485,7.0,2.6888876,2.8071686,95.6523009,1.7129606,28627.6436
AUT,Austria,2019,Europe & Central Asia,High income,EU,2.2131089,2.3616106,4.7086616,2.695276,4.2772674,3.1730714,1.8080007,4.7393031,5.0849429,4.7683696,5.1463961,1.6795767,2.4649765,3.8383018,1.7789515,53.537061,7.705976,35298.81
AUT,Austria,2021,Europe & Central Asia,High income,EU,2.2395321,2.5182163,4.7086616,2.942929,5.494553,3.2311933,1.7729801,4.7966269,5.0653269,4.2416344,5.2559808,1.0315458,1.8249865,3.0786593,1.8543271,45.0332231,3.6950092,15702.5366
AUT,Austria,2024,Europe & Central Asia,High income,EU,2.3604118,2.6484363,4.518358,3.0125342,5.7239366,3.3336425,1.9729375,4.8048094,5.4415045,4.491327,5.0221878,1.1380791,1.8976852,4.0385946,1.8543271,48.970517,5.081511,23597.1546
AZE,Azerbaijan,2019,Europe & Central Asia,Upper middle income,AS,1.1542453,2.005228,4.9923825,1.6162312,1.0413826,1.4074615,1.047111,3.8499968,4.7819028,3.3543196,4.2437978,5.2964651,5.2464898,2.8940374,3.338911,25.9420132,3.680031,1662.483
AZE,Azerbaijan,2021,Europe & Central Asia,Upper middle income,AS,1.1416645,2.2937495,4.9923825,1.6251313,1.0865141,1.4675535,1.0747337,3.8632127,4.5282052,2.9524114,4.2841856,4.822271,4.5844684,2.905419,3.7494072,65.9286901,1.0009062,450.364083
AZE,Azerbaijan,2024,Europe & Central Asia,Upper middle income,AS,1.1319585,2.4829896,4.9923825,1.841581,1.0958793,1.5329002,1.0655906,3.7042181,4.4984023,3.1522863,4.2869943,4.3208278,3.8970041,2.9168688,3.7494072,53.4588107,2.0584745,1216.2807
BEL,Belgium,2019,Europe & Central Asia,High income,EU,3.0634349,2.8825254,4.5918369,1.8900656,1.7353102,3.4537506,2.0373143,5.1791011,4.4668901,4.6449111,5.4403532,2.9173931,3.5702808,2.8702984,2.3071024,39.5800076,2.210837,11829.38
BEL,Belgium,2021,Europe & Central Asia,High income,EU,3.3853168,3.0629959,4.5918369,1.9047864,2.1513426,3.2980889,1.7381748,5.2298169,4.2209737,3.9655948,5.5080262,2.9435777,3.802836,2.3865256,2.3789357,62.0428563,1.2041338,6136.53946
BEL,Belgium,2024,Europe & Central Asia,High income,EU,2.8041607,3.1593735,4.3421041,1.9137759,2.0941763,3.1415783,1.5841891,5.2305457,4.0317138,4.3547082,5.3625047,3.0569804,4.1097952,2.7603963,2.3789357,68.2661062,1.7369591,9911.26251
BEN,Benin,2019,Sub-Saharan Africa,Lower middle income,AF,1.0334306,1.2500243,4.775701,2.3093279,1.0106358,1.0581205,1.0085812,3.4162621,3.1767223,2.1344835,2.5679142,3.8805988,3.8016988,2.9213122,4.9464888,55.3734539,2.040569,215.714
BEN,Benin,2021,Sub-Saharan Africa,Lower middle income,AF,1.0375133,1.251045,4.775701,2.3115585,1.0205185,1.057983,1.0080312,3.4074515,3.2802619,2.3350833,3.1030063,4.6974701,4.2648653,2.9404296,5.6172349,81.7048701,0.7910199,117.106691
BEN,Benin,2024,Sub-Saharan Africa,Lower middle income,AF,1.0454998,1.4447083,4.52425,2.3231055,1.0236947,1.0582133,1.0089525,3.3208878,2.6631987,2.4022345,3.3095015,5.0364013,4.3708908,2.9597378,5.6172349,49.8220857,1.4038875,235.624745
BGD,Bangladesh,2019,South Asia,Lower middle income,AS,1.2619751,1.6154938,3.1449275,2.1092936,1.1055398,2.0422533,1.1765093,2.3695523,3.6463299,2.9176757,3.7942104,2.6809499,2.8306233,2.3285494,1.9036136,96.7454116,2.203036,5937.544
BGD,Bangladesh,2021,South Asia,Lower middle income,AS,1.3270584,1.6317646,3.1449275,2.1138293,1.1288697,2.0877269,1.2164965,2.3695523,3.4815056,2.9943294,4.0289587,3.7104567,3.4978522,2.341825,1.9782558,97.3801196,0.6141374,2264.02617
BGD,Bangladesh,2024,South Asia,Lower middle income,AS,1.3341809,1.6335452,2.7763074,2.1383699,1.1277759,2.0889579,1.1475529,2.1165203,3.2260595,3.0820074,3.9475809,4.7548878,4.1621459,2.3552756,1.9782558,96.552291,0.9479679,4161.075
BGR,Bulgaria,2019,Europe & Central Asia,High income,EU,1.4306985,2.066008,3.4516129,2.772584,1.7327796,1.9698672,1.3740486,4.6579077,4.8376335,3.6853847,3.5113932,5.65923,6.389867,3.004258,1.7724658,15.5089085,3.105984,2026.921
