Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,1.2096111310509703,1.2096111310509703,108.0,AF
AGO,Angola,2021,1.202152646942235,1.202152646942235,110.0,AF
AGO,Angola,2024,1.191606956801535,1.191606956801535,113.0,AF
ALB,Albania,2019,1.2052068329795027,1.2052068329795027,110.0,EU
ALB,Albania,2021,1.2216638124482797,1.2216638124482797,109.0,EU
ALB,Albania,2024,1.2888994366928643,1.2888994366928643,104.0,EU
ARE,United Arab Emirates,2019,1.827381639031176,1.827381639031176,53.0,AS
ARE,United Arab Emirates,2021,2.150474981168955,2.150474981168955,40.0,AS
ARE,United Arab Emirates,2024,2.483036491292835,2.483036491292835,34.0,AS
ARG,Argentina,2019,3.3536324167417773,3.3536324167417773,17.0,SA
ARG,Argentina,2021,3.3135548085746467,3.3135548085746467,19.0,SA
ARG,Argentina,2024,3.291431675337561,3.291431675337561,20.0,SA
ARM,Armenia,2019,1.4152355138273487,1.4152355138273487,86.0,AS
ARM,Armenia,2021,1.5058597662772335,1.5058597662772335,81.0,AS
ARM,Armenia,2024,1.5006592913046513,1.5006592913046513,86.0,AS
AUS,Australia,2019,3.413953551504493,3.413953551504493,16.0,OC
AUS,Australia,2021,3.5778944449491057,3.5778944449491057,16.0,OC
AUS,Australia,2024,3.775015062197277,3.775015062197277,17.0,OC
AUT,Austria,2019,2.3616105524206947,2.3616105524206947,31.0,EU
AUT,Austria,2021,2.518216346035046,2.518216346035046,31.0,EU
AUT,Austria,2024,2.6484362881580648,2.6484362881580648,31.0,EU
AZE,Azerbaijan,2019,2.0052279865949347,2.0052279865949347,43.0,AS
AZE,Azerbaijan,2021,2.2937494692715346,2.2937494692715346,33.0,AS
AZE,Azerbaijan,2024,2.4829896232164232,2.4829896232164232,35.0,AS
BEL,Belgium,2019,2.8825254032833763,2.8825254032833763,21.0,EU
BEL,Belgium,2021,3.062995876571335,3.062995876571335,20.0,EU
BEL,Belgium,2024,3.1593735184544443,3.1593735184544443,22.0,EU
BEN,Benin,2019,1.2500243161158695,1.2500243161158695,102.0,AF
BEN,Benin,2021,1.2510449952102904,1.2510449952102904,104.0,AF
BEN,Benin,2024,1.4447082834944076,1.4447082834944076,92.0,AF
BGD,Bangladesh,2019,1.6154937720111184,1.6154937720111184,63.0,AS
BGD,Bangladesh,2021,1.6317645985825897,1.6317645985825897,67.0,AS
BGD,Bangladesh,2024,1.6335452306495013,1.6335452306495013,73.0,AS
BGR,Bulgaria,2019,2.066007957917911,2.066007957917911,40.0,EU
BGR,Bulgaria,2021,2.057464728951195,2.057464728951195,45.0,EU
BGR,Bulgaria,2024,2.101012393145605,2.101012393145605,47.0,EU
BHR,Bahrain,2019,1.2228473374840765,1.2228473374840765,106.0,AS
BHR,Bahrain,2021,1.4469759123053216,1.4469759123053216,88.0,AS
BHR,Bahrain,2024,1.5458003711881865,1.5458003711881865,84.0,AS
BIH,Bosnia and Herzegovina,2019,1.359308163264839,1.359308163264839,92.0,EU
BIH,Bosnia and Herzegovina,2021,1.5323849958290423,1.5323849958290423,78.0,EU
BIH,Bosnia and Herzegovina,2024,1.586135779180096,1.586135779180096,80.0,EU
BOL,Bolivia,2019,2.2077730391409056,2.2077730391409056,34.0,SA
BOL,Bolivia,2021,2.2009954828910323,2.2009954828910323,37.0,SA
BOL,Bolivia,2024,2.235678967112605,2.235678967112605,40.0,SA
BRA,Brazil,2019,5.462944445925917,5.462944445925917,9.0,SA
BRA,Brazil,2021,5.490876709625505,5.490876709625505,9.0,SA
BRA,Brazil,2024,5.436868666231501,5.436868666231501,11.0,SA
BRB,Barbados,2019,1.1254363531104028,1.1254363531104028,117.0,SA
BRB,Barbados,2021,1.1015932933864026,1.1015932933864026,117.0,SA
BRB,Barbados,2024,1.0982416064644869,1.0982416064644869,117.0,SA
BWA,Botswana,2019,1.2447504459162628,1.2447504459162628,105.0,AF
BWA,Botswana,2021,1.2991894519648723,1.2991894519648723,100.0,AF
BWA,Botswana,2024,1.2947855059227484,1.2947855059227484,103.0,AF
CAN,Canada,2019,2.942545162054879,2.942545162054879,20.0,NA
CAN,Canada,2021,2.676106577733844,2.676106577733844,27.0,NA
CAN,Canada,2024,2.8895656787405044,2.8895656787405044,25.0,NA
CHE,Switzerland,2019,1.9720903421273976,1.9720903421273976,45.0,EU
CHE,Switzerland,2021,2.1465555990633365,2.1465555990633365,41.0,EU
CHE,Switzerland,2024,2.1683950398567227,2.1683950398567227,45.0,EU
CHL,Chile,2019,2.1157740265851803,2.1157740265851803,39.0,SA
CHL,Chile,2021,2.169839599782131,2.169839599782131,38.0,SA
CHL,Chile,2024,2.1881197645793726,2.1881197645793726,43.0,SA
CHN,China,2019,6.931881843329574,6.931881843329574,1.0,AS
CHN,China,2021,6.63222042880196,6.63222042880196,2.0,AS
CHN,China,2024,6.586152108892906,6.586152108892906,4.0,AS
CIV,Cote d'Ivoire,2019,1.333244544899905,1.333244544899905,94.0,AF
CIV,Cote d'Ivoire,2021,1.3587023499203574,1.3587023499203574,94.0,AF
CIV,Cote d'Ivoire,2024,1.359295797769858,1.359295797769858,99.0,AF
CMR,Cameroon,2019,1.3664322186434246,1.3664322186434246,91.0,AF
CMR,Cameroon,2021,1.366648435403861,1.366648435403861,93.0,AF
CMR,Cameroon,2024,1.3689660305551696,1.3689660305551696,97.0,AF
COL,Colombia,2019,3.2620719726471488,3.2620719726471488,18.0,SA
COL,Colombia,2021,3.4415971397120746,3.4415971397120746,18.0,SA
COL,Colombia,2024,3.78789853330625,3.78789853330625,16.0,SA
CRI,Costa Rica,2019,1.4023006939486895,1.4023006939486895,88.0,SA
CRI,Costa Rica,2021,1.4599473098212372,1.4599473098212372,87.0,SA
CRI,Costa Rica,2024,1.463894219823047,1.463894219823047,90.0,SA
CYP,Cyprus,2019,1.4693793185098472,1.4693793185098472,79.0,EU
CYP,Cyprus,2021,1.5600750543541282,1.5600750543541282,72.0,EU
CYP,Cyprus,2024,1.6149621796725102,1.6149621796725102,76.0,EU
CZE,Czechia,2019,2.036290912745782,2.036290912745782,42.0,EU
CZE,Czechia,2021,2.150751580235952,2.150751580235952,39.0,EU
CZE,Czechia,2024,2.2587280664948146,2.2587280664948146,38.0,EU
DEU,Germany,2019,5.783333333333333,5.783333333333333,8.0,EU
DEU,Germany,2021,6.166666666666667,6.166666666666667,6.0,EU
DEU,Germany,2024,6.266666666666667,6.266666666666667,6.0,EU
DNK,Denmark,2019,1.7280954281751209,1.7280954281751209,56.0,EU
DNK,Denmark,2021,1.9161625320904423,1.9161625320904423,51.0,EU
DNK,Denmark,2024,2.0252568543973464,2.0252568543973464,49.0,EU
DOM,Dominican Republic,2019,1.2775586651025552,1.2775586651025552,99.0,SA
DOM,Dominican Republic,2021,1.4695308515609016,1.4695308515609016,86.0,SA
DOM,Dominican Republic,2024,1.4691292448026796,1.4691292448026796,89.0,SA
DZA,Algeria,2019,2.0519780046007696,2.0519780046007696,41.0,AF
DZA,Algeria,2021,2.0964246183957145,2.0964246183957145,44.0,AF
DZA,Algeria,2024,2.2002331207798216,2.2002331207798216,42.0,AF
ECU,Ecuador,2019,1.895627940317897,1.895627940317897,48.0,SA
ECU,Ecuador,2021,2.056511597876272,2.056511597876272,46.0,SA
ECU,Ecuador,2024,2.1110893379181315,2.1110893379181315,46.0,SA
EGY,"Egypt, Arab Rep.",2019,2.757743021659998,2.757743021659998,23.0,AF
EGY,"Egypt, Arab Rep.",2021,3.010573302362279,3.010573302362279,21.0,AF
EGY,"Egypt, Arab Rep.",2024,3.17995415256744,3.17995415256744,21.0,AF
ESP,Spain,2019,6.219882295978019,6.219882295978019,4.0,EU
ESP,Spain,2021,6.623536731370086,6.623536731370086,3.0,EU
ESP,Spain,2024,6.642971690140639,6.642971690140639,3.0,EU
EST,Estonia,2019,1.46164145161003,1.46164145161003,81.0,EU
EST,Estonia,2021,1.6346936144206363,1.6346936144206363,66.0,EU
EST,Estonia,2024,1.8498894011515776,1.8498894011515776,59.0,EU
FIN,Finland,2019,1.500801367337341,1.500801367337341,74.0,EU
FIN,Finland,2021,1.6998027400935305,1.6998027400935305,61.0,EU
FIN,Finland,2024,1.80556397845432,1.80556397845432,63.0,EU
FRA,France,2019,5.918099551203797,5.918099551203797,5.0,EU
FRA,France,2021,5.942489196152346,5.942489196152346,7.0,EU
FRA,France,2024,6.24839128457902,6.24839128457902,7.0,EU
GBR,United Kingdom,2019,5.8826881381943785,5.8826881381943785,6.0,EU
GBR,United Kingdom,2021,5.161166954506872,5.161166954506872,11.0,EU
GBR,United Kingdom,2024,5.829043238363994,5.829043238363994,8.0,EU
GEO,Georgia,2019,1.6885689732167224,1.6885689732167224,59.0,AS
GEO,Georgia,2021,1.491638820925283,1.491638820925283,83.0,AS
GEO,Georgia,2024,1.8090218630780115,1.8090218630780115,62.0,AS
GHA,Ghana,2019,1.215527292190025,1.215527292190025,107.0,AF
