STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,_Z,Not Applicable,_Z,Not Applicable,2024,2.750379720943116,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,_Z,Not Applicable,_Z,Not Applicable,2024,1.3055977467714572,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,_Z,Not Applicable,_Z,Not Applicable,2024,74.0,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,_Z,Not Applicable,_Z,Not Applicable,2021,2.2087823314024324,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,_Z,Not Applicable,_Z,Not Applicable,2021,1.2366552497931178,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,_Z,Not Applicable,_Z,Not Applicable,2021,86.0,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,_Z,Not Applicable,_Z,Not Applicable,2019,2.0610550979014417,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,_Z,Not Applicable,_Z,Not Applicable,2019,1.2208273319180116,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,_Z,Not Applicable,_Z,Not Applicable,2019,90.0,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,WEF_TTDI_CULTOURDEM,"Cultural and entertainment tourism Digital Demand, 0-100 (best)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,_Z,Not Applicable,_Z,Not Applicable,2024,1.3583923480735844,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
