Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,1.2921488925695548,1.138444524203881,102.0,AF
AGO,Angola,2021,1.947032152510106,1.20861058776894,92.0,AF
AGO,Angola,2024,1.4978504448552628,1.1664278272061404,96.0,AF
ALB,Albania,2019,2.0610550979014417,1.2208273319180116,90.0,EU
ALB,Albania,2021,2.2087823314024324,1.2366552497931178,86.0,EU
ALB,Albania,2024,2.750379720943116,1.3055977467714572,74.0,EU
ARE,United Arab Emirates,2019,1.333358968274997,1.1428598894580353,101.0,AS
ARE,United Arab Emirates,2021,1.5732881858632115,1.168566591342487,94.0,AS
ARE,United Arab Emirates,2024,2.089313686542058,1.2321459651713398,88.0,AS
ARG,Argentina,2019,16.313388002804132,2.747863000300443,24.0,SA
ARG,Argentina,2021,12.950490631231256,2.3875525676319205,28.0,SA
ARG,Argentina,2024,10.7915403121522,2.1990600346835776,32.0,SA
ARM,Armenia,2019,3.3687925162210206,1.360942055309395,76.0,AS
ARM,Armenia,2021,3.01876460768339,1.3234390651089347,72.0,AS
ARM,Armenia,2024,2.7237344869674427,1.3026371652186048,75.0,AS
AUS,Australia,2019,23.23204370061219,3.4891475393513063,18.0,OC
AUS,Australia,2021,15.974725944766613,2.7115777797964227,19.0,OC
AUS,Australia,2024,16.500542239101996,2.833393582122444,19.0,OC
AUT,Austria,2019,11.32234951259482,2.2131088763494446,33.0,EU
AUT,Austria,2021,11.568965807530624,2.2395320508068526,32.0,EU
AUT,Austria,2024,12.243706373690328,2.360411819298925,29.0,EU
AZE,Azerbaijan,2019,1.4396226106553474,1.154245279713073,99.0,AS
AZE,Azerbaijan,2021,1.322202408359522,1.141664543752806,98.0,AS
AZE,Azerbaijan,2024,1.18762643579123,1.1319584928656925,100.0,AS
BEL,Belgium,2019,19.258726167023813,3.0634349464668373,19.0,EU
BEL,Belgium,2021,22.262957169774296,3.3853168396186746,14.0,EU
BEL,Belgium,2024,16.237446664359997,2.804160740484444,20.0,EU
BEN,Benin,2019,0.3120189127702417,1.0334305977968117,117.0,AF
BEN,Benin,2021,0.3501242656286232,1.0375133141744954,115.0,AF
BEN,Benin,2024,0.4094982057986753,1.0454998006442973,113.0,AF
BGD,Bangladesh,2019,2.4451008217484254,1.261975088044474,87.0,AS
BGD,Bangladesh,2021,3.052545013750005,1.3270583943303578,70.0,AS
BGD,Bangladesh,2024,3.0076283033820457,1.334180922598005,70.0,AS
BGR,Bulgaria,2019,4.019852651157573,1.4306984983383115,67.0,EU
BGR,Bulgaria,2021,3.700905436400167,1.3965255824714464,63.0,EU
BGR,Bulgaria,2024,3.336446153241793,1.370716239249088,67.0,EU
BHR,Bahrain,2019,4.58630059940552,1.4913893499363056,62.0,AS
BHR,Bahrain,2021,3.931545170509792,1.4212369825546205,62.0,AS
BHR,Bahrain,2024,3.748813362774709,1.4165348180860788,59.0,AS
BIH,Bosnia and Herzegovina,2019,3.1475047618873218,1.337232653059356,80.0,EU
BIH,Bosnia and Herzegovina,2021,1.5201509553953598,1.1628733166495029,95.0,EU
BIH,Bosnia and Herzegovina,2024,1.6008880504834595,1.1778764500537178,94.0,EU
BOL,Bolivia,2019,5.267971239038262,1.5644254898969567,57.0,SA
BOL,Bolivia,2021,3.1482758057096607,1.3373152648974638,69.0,SA
