Sigla, País                  , Ano , Valor Bruto       , Pontuação Final   , Rank , Continente
AGO  , Angola                , 2019, 2.60714292526245  , 2.60714292526245  , 109.0, AF
AGO  , Angola                , 2021, 2.60714292526245  , 2.60714292526245  , 109.0, AF
AGO  , Angola                , 2024, 2.52307172168285  , 2.52307172168285  , 113.0, AF
ALB  , Albania               , 2019, 5.26249980926514  , 5.26249980926514  ,   2.0, EU
ALB  , Albania               , 2021, 5.26249980926514  , 5.26249980926514  ,   2.0, EU
ALB  , Albania               , 2024, 5.18708850931677  , 5.18708850931677  ,   2.0, EU
ARE  , United Arab Emirates  , 2019, 4.60590076446533  , 4.60590076446533  ,  12.0, AS
ARE  , United Arab Emirates  , 2021, 4.60590076446533  , 4.60590076446533  ,  12.0, AS
ARE  , United Arab Emirates  , 2024, 4.64596478787879  , 4.64596478787879  ,  17.0, AS
ARG  , Argentina             , 2019, 2.66234254837036  , 2.66234254837036  , 107.0, SA
ARG  , Argentina             , 2021, 2.66234254837036  , 2.66234254837036  , 107.0, SA
ARG  , Argentina             , 2024, 3.00532119680851  , 3.00532119680851  ,  98.0, SA
ARM  , Armenia               , 2019, 3.56603765487671  , 3.56603765487671  ,  54.0, AS
ARM  , Armenia               , 2021, 3.56603765487671  , 3.56603765487671  ,  54.0, AS
ARM  , Armenia               , 2024, 3.23682773076923  , 3.23682773076923  ,  84.0, AS
AUS  , Australia             , 2019, 3.40298509597778  , 3.40298509597778  ,  62.0, OC
AUS  , Australia             , 2021, 3.40298509597778  , 3.40298509597778  ,  62.0, OC
AUS  , Australia             , 2024, 4.66367604123711  , 4.66367604123711  ,  16.0, OC
AUT  , Austria               , 2019, 4.7086615562439   , 4.7086615562439   ,  11.0, EU
AUT  , Austria               , 2021, 4.7086615562439   , 4.7086615562439   ,  11.0, EU
AUT  , Austria               , 2024, 4.518358          , 4.518358          ,  23.0, EU
AZE  , Azerbaijan            , 2019, 4.99238252639771  , 4.99238252639771  ,   5.0, AS
AZE  , Azerbaijan            , 2021, 4.99238252639771  , 4.99238252639771  ,   5.0, AS
AZE  , Azerbaijan            , 2024, 4.99238252639771  , 4.99238252639771  ,   8.0, AS
BEL  , Belgium               , 2019, 4.59183692932129  , 4.59183692932129  ,  15.0, EU
BEL  , Belgium               , 2021, 4.59183692932129  , 4.59183692932129  ,  15.0, EU
BEL  , Belgium               , 2024, 4.34210413173653  , 4.34210413173653  ,  31.0, EU
BEN  , Benin                 , 2019, 4.77570104598999  , 4.77570104598999  ,  10.0, AF
