País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,SA,1304000.0,1286000.0,1285000.0,1254000.0,1383000.0,1420000.0,1394000.0,1469000.0,1481000.0,1667000.0,1739000.0,1832000.0,1758000.0,1863000.0,1897000.0
Angola,AGO,AF,194000.0,210000.0,121000.0,195000.0,294000.0,366000.0,425000.0,481000.0,528000.0,650000.0,595000.0,592000.0,397000.0,261000.0,218000.0
Albania,ALB,EU,645000.0,748000.0,937000.0,1127000.0,1420000.0,1856000.0,2417000.0,2932000.0,3514000.0,3256000.0,3673000.0,4131000.0,4736000.0,5118000.0,5927000.0
Andorra,AND,EU,11668000.0,11049000.0,10737000.0,10743000.0,10194000.0,9112000.0,8551000.0,7983000.0,7900000.0,7676000.0,7797000.0,7850000.0,8025000.0,8152000.0,8328000.0
Argentina,ARG,SA,3457000.0,3823000.0,4173000.0,4562000.0,4700000.0,4308000.0,6800000.0,6703000.0,6497000.0,6510000.0,7165000.0,6816000.0,6668000.0,6711000.0,6942000.0
Armenia,ARM,AS,263000.0,319000.0,382000.0,511000.0,558000.0,575000.0,684000.0,758000.0,963000.0,1084000.0,1204000.0,1192000.0,1260000.0,1495000.0,1652000.0
American Samoa,ASM,OC,,24500.0,25299.9992370605,24100.0003814697,24299.9992370605,23500.0,23100.0003814697,22600.0003814697,22600.0003814697,20799.9992370605,21600.0003814697,20299.9992370605,20100.0003814697,20000.0,20200.0007629395
Antigua and Barbuda,ATG,SA,769000.0,712000.0,838000.0,935000.0,863000.0,944000.0,788000.0,848000.0,819000.0,777000.0,771000.0,894000.0,874000.0,1040000.0,1064000.0
Australia,AUS,OC,5215000.0,5499000.0,5532000.0,5644000.0,5586000.0,5490000.0,5790000.0,5771000.0,6032000.0,6482000.0,6922000.0,7449000.0,8269000.0,8815000.0,9246000.0
Austria,AUT,EU,19374000.0,19952000.0,20269000.0,20773000.0,21935000.0,21355000.0,22004000.0,23012000.0,24151000.0,24813000.0,25291000.0,26728000.0,28121000.0,29460000.0,30816000.0
Azerbaijan,AZE,AS,1279000.0,1177000.0,1194000.0,1333000.0,1899000.0,1830000.0,1963000.0,2239000.0,2484000.0,2509000.0,2298000.0,2006000.0,2249000.0,2697000.0,2850000.0
Burundi,BDI,AF,133000.0,148000.0,214000.0,192000.0,202000.0,212000.0,142000.0,144000.0,147000.0,234000.0,235000.0,131000.0,187000.0,299000.0,
Belgium,BEL,EU,6710000.0,6747000.0,6995000.0,7045000.0,7165000.0,6815000.0,7186000.0,7494000.0,7560000.0,7684000.0,7887000.0,8355000.0,7481000.0,8385000.0,9119000.0
Benin,BEN,AF,845000.0,960000.0,975000.0,1010000.0,1027000.0,,,222000.0,232000.0,252000.0,265000.0,279000.0,292000.0,307000.0,322000.0
Burkina Faso,BFA,AF,222000.0,245000.0,264000.0,289000.0,272000.0,269000.0,274000.0,238000.0,237000.0,218000.0,191000.0,163000.0,152000.0,143000.0,144000.0
Bangladesh,BGD,AS,271000.0,208000.0,200000.0,289000.0,467000.0,267000.0,139000.0,157000.0,160000.0,104000.0,134000.0,126000.0,182000.0,237000.0,267000.0
Bulgaria,BGR,EU,6982000.0,7282000.0,7499000.0,7726000.0,8533000.0,7873000.0,8374000.0,8713000.0,8867000.0,9192000.0,9409000.0,9317000.0,10604000.0,11596000.0,12368000.0
Bahrain,BHR,AS,5667000.0,6313000.0,7289000.0,7833000.0,8631000.0,8861000.0,11952000.0,6732000.0,8062000.0,9163000.0,10452000.0,9670000.0,10158000.0,11374000.0,12045000.0
