País,Sigla,Continente,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,163000000.0,156000000.0,172000000.0,213000000.0,248000000.0,250000000.0,241000000.0,270000000.0,272000000.0,264000000.0,261000000.0,287000000.0,294000000.0,342000000.0,350000000.0,357000000.0,319000000.0,349000000.0,394000000.0,399000000.0,310000000.0
Afghanistan,AFG,AS,,,,,,,,,38000000.0,70000000.0,106000000.0,255000000.0,110000000.0,138000000.0,140000000.0,151000000.0,89000000.0,130000000.0,226000000.0,168000000.0,49000000.0
Angola,AGO,AF,146000000.0,80000000.0,52000000.0,49000000.0,86000000.0,135000000.0,393000000.0,473000000.0,447000000.0,270000000.0,275000000.0,323000000.0,288000000.0,316000000.0,505000000.0,389000000.0,823000000.0,1216000000.0,762000000.0,717000000.0,691000000.0
Albania,ALB,EU,290000000.0,269000000.0,386000000.0,507000000.0,669000000.0,808000000.0,989000000.0,1331000000.0,1644000000.0,1692000000.0,1452000000.0,1677000000.0,1374000000.0,1567000000.0,1689000000.0,1311000000.0,1338000000.0,1473000000.0,1750000000.0,1852000000.0,805000000.0
United Arab Emirates,ARE,AS,3019000000.0,3321000000.0,3651000000.0,3956000000.0,4472000000.0,6186000000.0,8827000000.0,11273000000.0,13288000000.0,10347000000.0,11818000000.0,13206000000.0,15072000000.0,16188000000.0,15848000000.0,16637099609.375,17127259765.625,17644699218.75,18004099609.375,18382000000.0,15085000000.0
Argentina,ARG,SA,5460000000.0,4888000000.0,2744000000.0,2997000000.0,3208000000.0,3554000000.0,4047000000.0,5077000000.0,5987000000.0,5808000000.0,6448000000.0,7602000000.0,8466000000.0,8421000000.0,7837000000.0,9348000000.0,12273000000.0,14180000000.0,13084000000.0,9845000000.0,2746000000.0
Armenia,ARM,AS,56000000.0,59000000.0,85000000.0,97000000.0,199000000.0,255000000.0,300000000.0,430000000.0,494000000.0,496000000.0,641000000.0,756000000.0,874000000.0,1007000000.0,1101000000.0,1057000000.0,1033000000.0,1218000000.0,1335000000.0,1543000000.0,330000000.0
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,89000000.0,95000000.0,101000000.0,106000000.0,111000000.0,119000000.0,35000000.0
Australia,AUS,OC,9065000000.0,8184000000.0,8640000000.0,10434000000.0,14702000000.0,16153000000.0,17293000000.0,22052000000.0,25557000000.0,22680000000.0,27851000000.0,33967000000.0,35226000000.0,35197000000.0,35666000000.0,34071000000.0,35718000000.0,39710000000.0,42439000000.0,41345000000.0,7654000000.0
Austria,AUT,EU,7001000000.0,7408000000.0,7743000000.0,9761000000.0,10812000000.0,11077000000.0,,,,,,,,,,11337000000.0,11634000000.0,12878000000.0,14109000000.0,13922000000.0,5551000000.0
Azerbaijan,AZE,AS,138000000.0,119000000.0,110000000.0,120000000.0,140000000.0,188000000.0,256000000.0,381000000.0,456000000.0,488000000.0,856000000.0,1778000000.0,2617000000.0,3032000000.0,3163000000.0,2743000000.0,2593000000.0,2803000000.0,2453000000.0,1839000000.0,439000000.0
