Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,SpecialNotes,
Aruba,ABW,NA,218000000,226000000,218000000,251000000,250000000,243000000,243000000,269000000,275000000,320000000,329000000,342000000,319000000,349000000,381000000,,
Angola,AGO,AF,39000000,74000000,148000000,212000000,254000000,133000000,148000000,180000000,159000000,166000000,113000000,146000000,594000000,977000000,555000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Albania,ALB,EU,642000000,786000000,965000000,1268000000,1555000000,1585000000,1360000000,1565000000,1284000000,1479000000,1590000000,1238000000,1262000000,1433000000,1679000000,,
Argentina,ARG,SA,2604000000,2790000000,3108000000,3935000000,4586000000,4536000000,4951000000,5667000000,6117000000,5932000000,5983000000,6982000000,9679000000,11378000000,10670000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Armenia,ARM,AS,162000000,207000000,265000000,379000000,435000000,443000000,579000000,687000000,803000000,930000000,1024000000,996000000,981000000,1163000000,1282000000,,
Antigua and Barbuda,ATG,NA,38000000,40000000,45000000,52000000,58000000,54000000,51000000,49000000,49000000,50000000,66000000,70000000,77000000,82000000,86000000,,
Australia,AUS,OC,10667000000,11749000000,12537000000,16454000000,19617000000,18738000000,22558000000,27371000000,28078000000,28575000000,30123000000,29190000000,30839000000,34470000000,36953000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",
Austria,AUT,EU,9237000000,9316000000,9628000000,10559000000,11438000000,10826000000,10120000000,10556000000,9987000000,10253000000,11095000000,9329000000,9772000000,10768000000,11793000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Azerbaijan,AZE,AS,126000000,164000000,201000000,264000000,343000000,406000000,782000000,1689000000,2477000000,2877000000,3008000000,2603000000,2494000000,2658000000,2284000000,,
Burundi,BDI,AF,23000000,60000000,125000000,104000000,144000000,62000000,20000000,31000000,25000000,34000000,38000000,29000000,28000000,24000000,23000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Belgium,BEL,EU,13956000000,14948000000,15574000000,17502000000,19523000000,19001000000,18862000000,20672000000,20166000000,22157000000,23820000000,13654000000,14439000000,15600000000,18442000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Benin,BEN,AF,29000000,27000000,34000000,72000000,64000000,53000000,57000000,53000000,43000000,39000000,54000000,62000000,64000000,50000000,31000000,,
Burkina Faso,BFA,AF,39000000,46000000,55000000,58000000,63000000,64000000,69000000,72000000,77000000,144000000,132000000,103000000,115000000,116000000,119000000,,
Bangladesh,BGD,AS,161000000,141000000,142000000,156000000,184000000,249000000,261000000,332000000,304000000,350000000,400000000,427000000,484000000,603000000,755000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",
Bulgaria,BGR,EU,1363000000,1309000000,1478000000,1880000000,2311000000,1755000000,826000000,904000000,923000000,1113000000,1202000000,1116000000,1361000000,1695000000,1868000000,,
Bahrain,BHR,AS,387000000,414000000,455000000,479000000,503000000,408000000,506000000,718000000,814000000,839000000,611000000,4342000000,2383000000,2300000000,1659000000,,
"Bahamas, The",BHS,NA,316000000,344000000,385000000,377000000,305000000,240000000,228000000,246000000,286000000,262000000,212000000,238000000,329000000,371000000,332000000,,
Bosnia and Herzegovina,BIH,EU,117000000,122000000,170000000,203000000,281000000,231000000,194000000,160000000,139000000,133000000,127000000,206000000,225000000,249000000,273000000,,
Belarus,BLR,EU,450000000,448000000,586000000,606000000,716000000,639000000,622000000,588000000,789000000,1153000000,1159000000,901000000,800000000,983000000,1069000000,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",
Belize,BLZ,NA,43000000,42000000,41000000,43000000,41000000,41000000,36000000,34000000,37000000,40000000,49000000,47000000,53000000,51000000,48000000,,
Bermuda,BMU,NA,217000000,239000000,268000000,288000000,307000000,295000000,301000000,216000000,221000000,222000000,264000000,244000000,249000000,255000000,254000000,,
Bolivia,BOL,SA,164000000,186000000,273000000,304000000,281000000,290000000,313000000,298000000,361000000,521000000,808000000,711000000,818000000,829000000,866000000,,
Brazil,BRA,SA,2871000000,4720000000,5764000000,8211000000,10962000000,10898000000,15965000000,20802000000,22039000000,25028000000,25567000000,17357000000,14497000000,19002000000,18266000000,,
Brunei Darussalam,BRN,AS,382000000,374000000,408000000,430000000,459000000,477000000,,,591000000,624000000,616000000,459000000,499000000,504000000,585000000,,
Botswana,BWA,AF,276000000,282000000,277000000,281000000,229000000,232000000,298000000,316000000,331000000,262000000,276000000,256000000,237000000,253000000,278000000,,
Canada,CAN,NA,15524000000,18027000000,20616000000,24643000000,27225000000,24190000000,29977000000,33399000000,37152000000,37886000000,37670000000,33961000000,32712000000,34644000000,34585000000,Fiscal year end: March 31, reporting period for national accounts data: CY.
Switzerland,CHE,EU,8561000000,9287000000,9728000000,10634000000,11464000000,11529000000,11805000000,14533000000,16018000000,17024000000,17781000000,17207000000,17619000000,19099000000,19054000000,,
Chile,CHL,SA,977000000,810000000,904000000,1026000000,994000000,1174000000,1313000000,1663000000,1833000000,1867000000,2089000000,1963000000,2124000000,2304000000,2363000000,,
China,CHN,AS,19149000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,101977000000,128576000000,227344000000,249831000000,250112000000,257875000000,277265000000,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Cote d'Ivoire,CIV,AF,381000000,354000000,373000000,372000000,356000000,343000000,352000000,380000000,364000000,381000000,402000000,357000000,372000000,386500000,416000000,,
Cameroon,CMR,AF,323000000,355000000,412000000,368000000,410000000,389000000,186000000,529000000,518000000,612000000,630000000,568000000,615000000,635000000,688000000,,
Colombia,COL,SA,1185000000,1499000000,1690000000,1904000000,2177000000,2252000000,2641000000,3032000000,3626000000,3941000000,4683000000,4318000000,4254000000,4475000000,4784000000,,
Cabo Verde,CPV,AF,78000000,67000000,82000000,107000000,133000000,136000000,129000000,132000000,127000000,120000000,110000000,101000000,71000000,78000000,85000000,,
Costa Rica,CRI,NA,401000000,463000000,479000000,625000000,586000000,363000000,418000000,400000000,422000000,425000000,450000000,690000000,803000000,1044000000,838000000,,
Cyprus,CYP,EU,811000000,932000000,967000000,1479000000,1666000000,1405000000,1320000000,1366000000,1318000000,1254000000,1343000000,1080000000,1120000000,1378000000,1569000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
Czechia,CZE,EU,2280000000,2405000000,2765000000,3768000000,4884000000,4255000000,4252000000,4789000000,4472000000,4637000000,5133000000,4772000000,4920000000,5465000000,5972000000,,
Germany,DEU,EU,71231000000,74167000000,74153000000,83138000000,91641000000,81461000000,77566000000,86227000000,83202000000,91311000000,93284000000,77468000000,79923000000,89736000000,95199000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries. GDP data before 1991 are calculated by applying backward GDP growth rates of the former Federal Republic of Germany starting from the first official GDP value for the unified Germany (1991).",
