País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,SA,1057000000.0,1097000000.0,1064099975.58594,1213400024.41406,1352000000.0,1223000000.0,1254000000.0,1358000000.0,1412000000.0,1506000000.0,1625000000.0,1659000000.0,1757000000.0,1855000000.0,2035000000.0
Afghanistan,AFG,AS,,,,,57000000.0,89000000.0,147000000.0,165000000.0,167000000.0,179000000.0,121000000.0,86000000.0,62000000.0,16000000.0,50000000.0
Angola,AGO,AF,82000000.0,103000000.0,91000000.0,236000000.0,293000000.0,554000000.0,726000000.0,653000000.0,711000000.0,1241000000.0,1597000000.0,1171000000.0,628000000.0,884000000.0,557000000.0
Albania,ALB,EU,756000000.0,880000000.0,1057000000.0,1479000000.0,1850000000.0,2013000000.0,1778000000.0,1833000000.0,1623000000.0,1670000000.0,1849000000.0,1613000000.0,1821000000.0,2050000000.0,2306000000.0
United Arab Emirates,ARE,AS,1593000000.0,3218000000.0,4972000000.0,6072000000.0,7162000000.0,7352000000.0,8577000000.0,9204000000.0,10924000000.0,12389000000.0,15221000000.0,25587099609.375,28657400390.625,29705500000.0,34609500000.0
Argentina,ARG,SA,2660000000.0,3209000000.0,3926000000.0,5030000000.0,5273000000.0,4455000000.0,5605000000.0,6058000000.0,5665000000.0,5199000000.0,5645000000.0,5441000000.0,5466000000.0,5830000000.0,5999000000.0
Armenia,ARM,AS,189000000.0,243000000.0,406000000.0,522000000.0,564000000.0,570000000.0,694000000.0,762000000.0,853000000.0,905000000.0,994000000.0,956000000.0,1037000000.0,1224000000.0,1358000000.0
Australia,AUS,OC,18032000000.0,19719000000.0,20408000000.0,25024000000.0,27189000000.0,26909000000.0,31064000000.0,34315000000.0,34137000000.0,32889000000.0,35736000000.0,36249000000.0,39059000000.0,43975000000.0,47327000000.0
Azerbaijan,AZE,AS,79000000.0,100000000.0,201000000.0,317000000.0,382000000.0,545000000.0,792000000.0,1500000000.0,2634000000.0,2618000000.0,2713000000.0,2535000000.0,2855000000.0,3214000000.0,2830000000.0
Burundi,BDI,AF,1799999.95231628,1899999.97615814,1600000.02384186,2299999.95231628,1600000.02384186,1700000.04768372,2099999.90463257,3700000.04768372,,,,,,,
Belgium,BEL,EU,10089000000.0,10881000000.0,11625000000.0,12369000000.0,,12718000000.0,12680000000.0,14114000000.0,13704000000.0,14534000000.0,15249000000.0,8975000000.0,8784000000.0,9636000000.0,10319000000.0
