Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,521000000,620000000,689000000,741000000,729000000,814000000,822000000,834000000,858000000,1057000000,1097000000,1064000000,1213000000,1351000000,1222000000,1251000000,1351000000,1402000000,1495000000,1605000000,1650000000,1757000000,1855000000,2033000000,2104000000,1076000000
Afghanistan,AFG,,,,,,,,,,,,,,17000000,36000000,75000000,85000000,102000000,138000000,109000000,79000000,49000000,2000000,28000000,72000000,65000000
Angola,AGO,10000000,9000000,9000000,8000000,13000000,18000000,22000000,37000000,49000000,66000000,88000000,75000000,225000000,285000000,534000000,719000000,646000000,706000000,1234000000,1589000000,1163000000,623000000,880000000,544000000,384000000,16000000
Albania,ALB,65000000,77000000,27000000,54000000,211000000,389000000,446000000,487000000,522000000,735000000,854000000,1012000000,1378000000,1715000000,1828000000,1611000000,1632000000,1463000000,1473000000,1700000000,1499000000,1693000000,1943000000,2186000000,2329000000,1134000000
Argentina,ARG,2222000000,2621000000,2778000000,3025000000,2898000000,2904000000,2642000000,1535000000,2006000000,2235000000,2729000000,3351000000,4325000000,4664000000,3989000000,4989000000,5431000000,5014000000,4525000000,4960000000,4927000000,4967000000,5370000000,5563000000,5241000000,1616000000
Armenia,ARM,1000000,12000000,20000000,24000000,31000000,38000000,65000000,63000000,73000000,172000000,223000000,370000000,484000000,518000000,530000000,646000000,722000000,817000000,880000000,966000000,936000000,1017000000,1204000000,1329000000,1528000000,293000000
Antigua and Barbuda,ATG,247000000,258000000,278000000,282000000,290000000,291000000,272000000,274000000,300000000,337000000,309000000,327000000,338000000,334000000,305000000,298000000,312000000,319000000,299000000,708000000,710000000,753000000,737000000,775000000,909000000,386000000
Australia,AUS,8130000000,9519000000,9456000000,8130000000,9258000000,9375000000,9222000000,10044000000,12620000000,15212000000,16750000000,17538000000,21774000000,23986000000,24566000000,28472000000,31582000000,31557000000,30617000000,33569000000,34269000000,37019000000,41747000000,45098000000,45729000000,25667000000
Austria,AUT,13435000000,12830000000,11018000000,11241000000,10847000000,9899000000,9948000000,10803000000,13307000000,15150000000,16243000000,16512000000,18557000000,21630000000,19168000000,18751000000,19791000000,18931000000,20221000000,20913000000,18292000000,19244000000,20333000000,23233000000,22983000000,13881000000
Azerbaijan,AZE,70000000,46000000,162000000,125000000,81000000,63000000,43000000,51000000,58000000,65000000,78000000,117000000,178000000,191000000,379000000,657000000,1287000000,2433000000,2365000000,2432000000,2309000000,2714000000,3012000000,2634000000,1791500000,304000000
Burundi,BDI,1399999.97615814,1200000.04768372,600000.023841858,400000.005960464,699999.988079071,800000.011920929,500000,1100000.02384186,699999.988079071,1200000.04768372,1500000,1299999.95231628,1299999.95231628,1299999.95231628,1500000,1799999.95231628,2500000,1500000,2299999.95231628,4099999.90463257,2200000.04768372,1899999.97615814,3000000,3900000.09536743,,
Belgium,BEL,4548000000,4844000000,4529000000,4623000000,6472000000,6592000000,6887000000,6935000000,8193000000,9208000000,9845000000,10311000000,11015000000,12020000000,11461000000,11393000000,12750000000,12498000000,13384000000,13918000000,7865000000,7648000000,8396000000,8880000000,8900000000,6603000000
Benin,BEN,85000000,79000000,56000000,64000000,94000000,77000000,85000000,93000000,106000000,118000000,103000000,116000000,206000000,236000000,131000000,149000000,180000000,170000000,189000000,151000000,141000000,123000000,150000000,162000000,240000000,
Burkina Faso,BFA,,,,,,19000000,20000000,25000000,24000000,40000000,45000000,53000000,56000000,62000000,66000000,72000000,75000000,84000000,153000000,135000000,109000000,122000000,117000000,121000000,116000000,
Bangladesh,BGD,25000000,33000000,62000000,52000000,50000000,50000000,48000000,57000000,57000000,67000000,75000000,79000000,76000000,75000000,70000000,81000000,87000000,103000000,129000000,153000000,150000000,214000000,341000000,353000000,388000000,217000000
Bulgaria,BGR,473000000,388000000,369000000,966000000,932000000,1074000000,994000000,1096000000,1621000000,2202000000,2412000000,2612000000,3713000000,4306000000,3776000000,3343000000,3764000000,3462000000,3829000000,3927000000,3139000000,3637000000,4099000000,4468000000,4287000000,1636000000
Bahrain,BHR,247000000,263000000,311000000,366000000,518000000,573000000,630000000,740000000,720000000,864000000,920000000,1048000000,1105000000,1166000000,1118000000,1362000000,1035000000,1059000000,1175000000,1208000000,2705000000,3846000000,4245000000,3689000000,3681000000,673000000
"Bahamas, The",BHS,1346000000,1398000000,1416000000,1354000000,1583000000,1738000000,1648000000,1760000000,1757000000,1884000000,2071000000,2056000000,2187000000,2144000000,2014000000,2147000000,2142000000,2311000000,2285000000,2316000000,2537000000,3074000000,2930000000,3728000000,4125000000,1002000000
Bosnia and Herzegovina,BIH,,,,247000000,245000000,233000000,265000000,288000000,377000000,481000000,519000000,607000000,724000000,825000000,674000000,589000000,635000000,615000000,685000000,707000000,752000000,830000000,930000000,1096000000,1173000000,426000000
Belarus,BLR,23000000,55000000,25000000,22000000,12000000,93000000,211000000,234000000,267000000,270000000,253000000,286000000,324000000,363000000,370000000,440000000,487000000,685000000,791000000,868000000,729000000,711000000,801000000,883000000,901000000,355000000
Belize,BLZ,78000000,93000000,95000000,99000000,101000000,111000000,111000000,121000000,150000000,168000000,214000000,260000000,289000000,278000000,256000000,264000000,248000000,298000000,351000000,380000000,372000000,391000000,427000000,479000000,527000000,247000000
Bermuda,BMU,488000000,472000000,478000000,487000000,479000000,431000000,351000000,378000000,348000000,426000000,429000000,495000000,569000000,431000000,366000000,442000000,493000000,441000000,439000000,401000000,370000000,440000000,513000000,583000000,601000000,94000000
Bolivia,BOL,55000000,61000000,64000000,69000000,87000000,68000000,76000000,100000000,166000000,192000000,239000000,244000000,292000000,275000000,279000000,310000000,380000000,594000000,574000000,664000000,699000000,713000000,803000000,815000000,837000000,191000000
Brazil,BRA,972000000,718000000,977000000,1317000000,1626000000,1810000000,1731000000,1998000000,2479000000,3222000000,3861000000,4316000000,4953000000,5785000000,5305000000,5261000000,6095000000,6378000000,6474000000,6843000000,5844000000,6024000000,5809000000,5921000000,5995000000,3044000000
Barbados,BRB,620000000,657000000,661000000,709000000,724000000,785000000,719000000,687000000,831000000,834000000,897000000,1061000000,1191000000,1196000000,1073000000,1038000000,971000000,929000000,969000000,887000000,947000000,1038000000,1080000000,1125000000,,
Brunei Darussalam,BRN,,,,,,,155000000,113000000,124000000,181000000,191000000,224000000,233000000,242000000,254000000,,,92000000,96000000,79000000,147000000,144000000,177000000,190000000,217000000,38000000
Bhutan,BTN,,,,,,,,,,,,23000000,28000000,37000000,42000000,40000000,47000000,61000000,83000000,84000000,94000000,92000000,105000000,103000000,120000000,84000000
Botswana,BWA,162000000,93000000,136000000,175000000,234000000,222000000,230000000,319000000,457000000,581000000,562000000,538000000,546000000,510000000,663000000,438000000,465000000,513000000,481000000,528000000,533000000,503000000,542000000,582000000,705000000,211000000
Canada,CAN,7917000000,8607000000,8819000000,9414000000,10203000000,10778000000,10623000000,10687000000,10602000000,13029000000,13655000000,14556000000,15605000000,15667000000,13743000000,15830000000,16839000000,20156000000,20886000000,21580000000,20315000000,22676000000,25083000000,26893000000,28018000000,11256000000
Switzerland,CHE,9459000000,8891000000,7945000000,7991000000,6839000000,6566000000,6716000000,7231000000,8424000000,9288000000,9891000000,10784000000,12223000000,14698000000,14340000000,14811000000,17148000000,15991000000,16674000000,17768000000,16929000000,16752000000,17251000000,17994000000,17955000000,9038000000
Chile,CHL,911000000,931000000,1103000000,1105000000,911000000,819000000,799000000,898000000,883000000,1095000000,1001000000,1149000000,1453000000,1594000000,1613000000,1552000000,1813000000,2150000000,2181000000,2259000000,2481000000,2665000000,3131000000,2871000000,2279000000,406000000
China,CHN,8730000000,10200000000,12074000000,12602000000,14098000000,16231000000,17792000000,20385000000,17406000000,25739000000,29296000000,33949000000,37233000000,40843000000,39675000000,45814000000,48464000000,50028000000,51664000000,44044000000,44969000000,44432000000,38559000000,40386000000,35832000000,14233000000
Cote d'Ivoire,CIV,89000000,93000000,90000000,98000000,100000000,49000000,53000000,51000000,69000000,82000000,83000000,93000000,103000000,116000000,151000000,201000000,180000000,172000000,181000000,184000000,158000000,379000000,397000000,443000000,448500000,166100006.103516
Cameroon,CMR,36000000,104000000,84000000,85000000,60000000,57000000,73000000,62000000,182000000,158000000,175000000,181000000,226000000,156000000,270000000,159000000,409000000,349000000,576000000,595000000,450000000,505000000,525000000,581000000,653000000,437000000
"Congo, Dem. Rep.",COD,,,,,,,,,,,3200000.04768372,3099999.90463257,699999.988079071,699999.988079071,24000000,10699999.8092651,11399999.6185303,6900000.09536743,8399999.61853027,45400001.5258789,100000.001490116,4300000.19073486,6000000,60500000,99699996.9482422,80800003.0517578
"Congo, Rep.",COG,14000000,11000000,10000000,9000000,13000000,12000000,22000000,25000000,29000000,22000000,40000000,45000000,27000000,32000000,77000000,27000000,38000000,63000000,52000000,55000000,46000000,41000000,,,,
Colombia,COL,657000000,1120000000,1043000000,928000000,927000000,1030000000,1217000000,967000000,893000000,1227000000,1539000000,1915000000,1993000000,2342000000,2440000000,2797000000,3010000000,3460000000,3611000000,3825000000,4245000000,4522000000,4921000000,5621000000,5682000000,1595000000
Comoros,COM,,,,,,,,,,,24000000,27000000,30000000,37000000,32000000,35000000,42000000,39000000,,62000000,51000000,50000000,60000000,73000000,72000000,18000000
Cabo Verde,CPV,10000000,11000000,15000000,20000000,29000000,41000000,54000000,65000000,87000000,99000000,122000000,209000000,304000000,352000000,286000000,278000000,368000000,394000000,422000000,405000000,347000000,365000000,426000000,488000000,502000000,159000000
Costa Rica,CRI,681000000,710000000,742000000,914000000,1098000000,1454000000,1314000000,1298000000,1442000000,1628000000,1869000000,1908000000,2259000000,2561000000,2030000000,2246000000,2423000000,2529000000,2928000000,2996000000,3266000000,3648000000,3656000000,3769000000,4008000000,1356000000
Curacao,CUW,,,,,,,,,,,,,327000000,378000000,361000000,385000000,453000000,543000000,583000000,635000000,607000000,573000000,551000000,593000000,703000000,281000000
Cyprus,CYP,1798000000,1681000000,1659000000,1718000000,1911000000,1941000000,1993000000,1959000000,2097000000,2241000000,2318000000,2382000000,2685000000,2780000000,2199000000,2137000000,2603000000,2603000000,2930000000,2924000000,2524000000,2870000000,3274000000,3449000000,3245000000,663000000
Czechia,CZE,2880000000,4079000000,3620000000,3894000000,3153000000,2973000000,3104000000,2964000000,3566000000,4187000000,4813000000,5884000000,6943000000,8214000000,7241000000,7172000000,8096000000,7456000000,7042000000,6822000000,6056000000,6308000000,6970000000,7446000000,7302000000,3632000000
Germany,DEU,18036000000,17616000000,17702000000,18365000000,18230000000,18611000000,18036000000,19297000000,23144000000,27634000000,29111000000,32903000000,36094000000,39921000000,34752000000,34557000000,38928000000,38054000000,41283000000,43277000000,36895000000,37476000000,40011000000,42895000000,41779000000,22049000000
Djibouti,DJI,5400000.09536743,4599999.90463257,4199999.80926514,9300000.19073486,7599999.90463257,8100000.38146973,8600000.38146973,8899999.61853027,6900000.09536743,6800000.19073486,7099999.90463257,9800000.19073486,6800000.19073486,7800000.19073486,16000000,18000000,19200000.7629395,20500000,21600000.3814697,24700000.7629395,39900001.5258789,38599998.4741211,36200000.7629395,57000000,63099998.4741211,29700000.7629395
Dominica,DMA,42000000,44000000,48000000,47000000,51000000,48000000,46000000,46000000,52000000,61000000,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,202000000,197000000,161000000,88000000,124000000,32000000
Denmark,DNK,3691000000,3420000000,3156000000,3236000000,3698000000,3671000000,4003000000,4791000000,5271000000,5652000000,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7494000000,8508000000,9107000000,8651000000,3970000000
Dominican Republic,DOM,1571000000,1781000000,2099000000,2153000000,2483000000,2860000000,2798000000,2730000000,3128000000,3152000000,3518000000,3917000000,4064000000,4166000000,4049000000,4162000000,4391000000,4687000000,5055000000,5630000000,6116000000,6720000000,7184000000,7548000000,7472000000,2674000000
Algeria,DZA,32000000,45000000,28000000,74000000,80000000,102000000,100000000,111000000,112000000,178000000,184000000,220000000,219000000,323000000,246000000,220000000,209000000,217000000,250000000,258000000,311000000,209000000,141000000,168500000,112000000,43000000
