Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes,
Aruba,ABW,NA,1057000000,1097000000,1064000000,1213000000,1351000000,1222000000,1251000000,1351000000,1402000000,1495000000,1605000000,1650000000,1757000000,1855000000,2033000000,,
Angola,AGO,AF,66000000,88000000,75000000,225000000,285000000,534000000,719000000,646000000,706000000,1234000000,1589000000,1163000000,623000000,880000000,544000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Albania,ALB,EU,735000000,854000000,1012000000,1378000000,1715000000,1828000000,1611000000,1632000000,1463000000,1473000000,1700000000,1499000000,1693000000,1943000000,2186000000,,
Argentina,ARG,SA,2235000000,2729000000,3351000000,4325000000,4664000000,3989000000,4989000000,5431000000,5014000000,4525000000,4960000000,4927000000,4967000000,5370000000,5563000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Armenia,ARM,AS,172000000,223000000,370000000,484000000,518000000,530000000,646000000,722000000,817000000,880000000,966000000,936000000,1017000000,1204000000,1329000000,,
Antigua and Barbuda,ATG,NA,337000000,309000000,327000000,338000000,334000000,305000000,298000000,312000000,319000000,299000000,708000000,710000000,753000000,737000000,775000000,,
Australia,AUS,OC,15212000000,16750000000,17538000000,21774000000,23986000000,24566000000,28472000000,31582000000,31557000000,30617000000,33569000000,34269000000,37019000000,41747000000,45098000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",
Austria,AUT,EU,15150000000,16243000000,16512000000,18557000000,21630000000,19168000000,18751000000,19791000000,18931000000,20221000000,20913000000,18292000000,19244000000,20333000000,23233000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Azerbaijan,AZE,AS,65000000,78000000,117000000,178000000,191000000,379000000,657000000,1287000000,2433000000,2365000000,2432000000,2309000000,2714000000,3012000000,2634000000,,
Burundi,BDI,AF,120000004768372,1500000,129999995231628,129999995231628,129999995231628,1500000,179999995231628,2500000,1500000,229999995231628,409999990463257,220000004768372,189999997615814,3000000,390000009536743,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Belgium,BEL,EU,9208000000,9845000000,10311000000,11015000000,12020000000,11461000000,11393000000,12750000000,12498000000,13384000000,13918000000,7865000000,7648000000,8396000000,8880000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Benin,BEN,AF,118000000,103000000,116000000,206000000,236000000,131000000,149000000,180000000,170000000,189000000,151000000,141000000,123000000,150000000,162000000,,
Burkina Faso,BFA,AF,40000000,45000000,53000000,56000000,62000000,66000000,72000000,75000000,84000000,153000000,135000000,109000000,122000000,117000000,121000000,,
Bangladesh,BGD,AS,67000000,75000000,79000000,76000000,75000000,70000000,81000000,87000000,103000000,129000000,153000000,150000000,214000000,341000000,353000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",
Bulgaria,BGR,EU,2202000000,2412000000,2612000000,3713000000,4306000000,3776000000,3343000000,3764000000,3462000000,3829000000,3927000000,3139000000,3637000000,4099000000,4468000000,,
Bahrain,BHR,AS,864000000,920000000,1048000000,1105000000,1166000000,1118000000,1362000000,1035000000,1059000000,1175000000,1208000000,2705000000,3846000000,4245000000,3689000000,,
"Bahamas, The",BHS,NA,1884000000,2071000000,2056000000,2187000000,2144000000,2014000000,2147000000,2142000000,2311000000,2285000000,2316000000,2537000000,3074000000,2930000000,3728000000,,
Bosnia and Herzegovina,BIH,EU,481000000,519000000,607000000,724000000,825000000,674000000,589000000,635000000,615000000,685000000,707000000,752000000,830000000,930000000,1096000000,,
