Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,3.0034017238135857,3.0034017238135857,41.0,AF
AGO,Angola,2021,3.011914033755178,3.011914033755178,44.0,AF
AGO,Angola,2024,3.100873045337513,3.100873045337513,45.0,AF
ALB,Albania,2019,1.9077513648070736,1.9077513648070736,87.0,EU
ALB,Albania,2021,2.109261862261208,2.109261862261208,82.0,EU
ALB,Albania,2024,2.1674230551186087,2.1674230551186087,81.0,EU
ARE,United Arab Emirates,2019,1.807501304944012,1.807501304944012,91.0,AS
ARE,United Arab Emirates,2021,1.827613585770909,1.827613585770909,93.0,AS
ARE,United Arab Emirates,2024,1.8486866848381995,1.8486866848381995,93.0,AS
ARG,Argentina,2019,4.376404614154914,4.376404614154914,19.0,SA
ARG,Argentina,2021,4.477314938915005,4.477314938915005,18.0,SA
ARG,Argentina,2024,4.522290225777139,4.522290225777139,18.0,SA
ARM,Armenia,2019,1.4400925308824368,1.4400925308824368,110.0,AS
ARM,Armenia,2021,1.4741830094310742,1.4741830094310742,109.0,AS
ARM,Armenia,2024,1.484061550418125,1.484061550418125,110.0,AS
AUS,Australia,2019,6.259599371185456,6.259599371185456,3.0,OC
AUS,Australia,2021,6.445201340499997,6.445201340499997,1.0,OC
AUS,Australia,2024,6.4224086858791765,6.4224086858791765,2.0,OC
AUT,Austria,2019,2.695275963435807,2.695275963435807,53.0,EU
AUT,Austria,2021,2.942929037385722,2.942929037385722,47.0,EU
AUT,Austria,2024,3.012534214564968,3.012534214564968,47.0,EU
AZE,Azerbaijan,2019,1.6162312028512105,1.6162312028512105,100.0,AS
AZE,Azerbaijan,2021,1.6251312646962943,1.6251312646962943,103.0,AS
AZE,Azerbaijan,2024,1.8415809698940009,1.8415809698940009,94.0,AS
BEL,Belgium,2019,1.890065639833784,1.890065639833784,88.0,EU
BEL,Belgium,2021,1.90478635249532,1.90478635249532,90.0,EU
BEL,Belgium,2024,1.9137758730298569,1.9137758730298569,91.0,EU
BEN,Benin,2019,2.309327872727491,2.309327872727491,71.0,AF
