Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,0.6526583850073004,1.0575875045594676,106.0,AF
AGO,Angola,2021,1.1302708622382391,1.0997297819621976,105.0,AF
AGO,Angola,2024,1.2280480909738192,1.1083571844976898,104.0,AF
ALB,Albania,2019,6.254795233012311,1.551893697030498,58.0,EU
ALB,Albania,2021,11.548585028236417,2.0189927966090955,45.0,EU
ALB,Albania,2024,14.301190775373854,2.261869774297693,37.0,EU
ARE,United Arab Emirates,2019,0.4056176436262797,1.0357897920846717,113.0,AS
ARE,United Arab Emirates,2021,0.9839159631357292,1.0868161143943291,107.0,AS
ARE,United Arab Emirates,2024,1.2185708751105533,1.1075209595685782,105.0,AS
ARG,Argentina,2019,7.4013187680512,1.6530575383574588,50.0,SA
ARG,Argentina,2021,10.429533193596187,1.9202529288467225,48.0,SA
ARG,Argentina,2024,11.465002028503369,2.011617826044415,44.0,SA
ARM,Armenia,2019,0.8816047785378504,1.0777886569298103,103.0,AS
ARM,Armenia,2021,2.316934477894298,1.2044353951083204,89.0,AS
ARM,Armenia,2024,2.1802576911159166,1.192375678627875,91.0,AS
AUS,Australia,2019,26.043964367175825,3.2979968559272788,16.0,OC
AUS,Australia,2021,36.56140929499987,4.226006702499989,12.0,OC
AUS,Australia,2024,35.26982553315332,4.1120434293958805,13.0,OC
AUT,Austria,2019,37.142363935472986,4.277267406071146,8.0,EU
AUT,Austria,2021,50.93826771306178,5.494553033505451,6.0,EU
AUT,Austria,2024,53.53794774464463,5.723936565703938,6.0,EU
AZE,Azerbaijan,2019,0.4690033150328653,1.0413826454440764,111.0,AS
AZE,Azerbaijan,2021,0.980493025205708,1.0865140904593271,108.0,AS
AZE,Azerbaijan,2024,1.086632270981075,1.095879318027742,107.0,AS
BEL,Belgium,2019,8.333515343139215,1.735310177335813,47.0,EU
BEL,Belgium,2021,13.04854956317254,2.151342608515224,41.0,EU
BEL,Belgium,2024,12.400665092336334,2.0941763316767354,42.0,EU
BEN,Benin,2019,0.1205391384268768,1.0106358063317833,118.0,AF
BEN,Benin,2021,0.2325425004150115,1.0205184559189715,119.0,AF
BEN,Benin,2024,0.268540256848063,1.0236947285454174,119.0,AF
BGD,Bangladesh,2019,1.196117922646149,1.105539816704072,95.0,AS
BGD,Bangladesh,2021,1.460523791015165,1.128869746266044,102.0,AS
BGD,Bangladesh,2024,1.448126751079618,1.1277758898011427,102.0,AS
BGR,Bulgaria,2019,8.304835932098499,1.7327796410675145,48.0,EU
BGR,Bulgaria,2021,10.541773600564795,1.930156494167482,47.0,EU
BGR,Bulgaria,2024,10.089663268170696,1.8902644060150613,48.0,EU
BHR,Bahrain,2019,1.4327268926347858,1.1264170787618928,89.0,AS
BHR,Bahrain,2021,2.4520029595981816,1.2163532023174866,86.0,AS
BHR,Bahrain,2024,2.211182577559234,1.195104345078756,90.0,AS
BIH,Bosnia and Herzegovina,2019,1.04822852962084,1.0924907526136036,98.0,EU
BIH,Bosnia and Herzegovina,2021,2.2121070031991747,1.195185912046986,91.0,EU
BIH,Bosnia and Herzegovina,2024,2.462992393481611,1.2173228582483775,88.0,EU
BOL,Bolivia,2019,2.865924194572087,1.252875664226949,76.0,SA
BOL,Bolivia,2021,4.353528068091019,1.3841348295374427,79.0,SA
BOL,Bolivia,2024,5.189258459143392,1.4578757463950052,72.0,SA
BRA,Brazil,2019,19.169342306699384,2.691412556473475,20.0,SA
BRA,Brazil,2021,24.316057860598963,3.145534517111673,19.0,SA
BRA,Brazil,2024,22.13809731800859,2.953361528059581,25.0,SA
