Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,1.270533739141541,1.270533739141541,104.0,AF
AGO,Angola,2021,1.2636805108813594,1.2636805108813594,103.0,AF
AGO,Angola,2024,1.2496477252901446,1.2496477252901446,105.0,AF
ALB,Albania,2019,1.405184590020446,1.405184590020446,90.0,EU
ALB,Albania,2021,1.4304037031040164,1.4304037031040164,88.0,EU
ALB,Albania,2024,1.5241847859927735,1.5241847859927735,84.0,EU
ARE,United Arab Emirates,2019,3.565012487229658,3.565012487229658,30.0,AS
ARE,United Arab Emirates,2021,3.373162286626047,3.373162286626047,31.0,AS
ARE,United Arab Emirates,2024,3.838117914122345,3.838117914122345,24.0,AS
ARG,Argentina,2019,2.711223465626749,2.711223465626749,45.0,SA
ARG,Argentina,2021,2.6749054961292584,2.6749054961292584,46.0,SA
ARG,Argentina,2024,2.664752143808568,2.664752143808568,43.0,SA
ARM,Armenia,2019,1.2559177066966924,1.2559177066966924,105.0,AS
ARM,Armenia,2021,1.3608775750205049,1.3608775750205049,93.0,AS
ARM,Armenia,2024,1.3863985663467124,1.3863985663467124,94.0,AS
AUS,Australia,2019,5.455668106568043,5.455668106568043,8.0,OC
AUS,Australia,2021,5.396603917862481,5.396603917862481,6.0,OC
AUS,Australia,2024,5.089725115552725,5.089725115552725,7.0,OC
AUT,Austria,2019,3.173071426819559,3.173071426819559,39.0,EU
AUT,Austria,2021,3.231193338384499,3.231193338384499,34.0,EU
AUT,Austria,2024,3.3336425440299298,3.3336425440299298,32.0,EU
AZE,Azerbaijan,2019,1.407461504638507,1.407461504638507,89.0,AS
AZE,Azerbaijan,2021,1.4675534841740907,1.4675534841740907,85.0,AS
AZE,Azerbaijan,2024,1.5329001795537829,1.5329001795537829,81.0,AS
BEL,Belgium,2019,3.453750623952568,3.453750623952568,31.0,EU
BEL,Belgium,2021,3.2980888517054088,3.2980888517054088,32.0,EU
BEL,Belgium,2024,3.141578269524856,3.141578269524856,37.0,EU
BEN,Benin,2019,1.0581205214739269,1.0581205214739269,116.0,AF
BEN,Benin,2021,1.0579830234694485,1.0579830234694485,116.0,AF
BEN,Benin,2024,1.058213346048176,1.058213346048176,117.0,AF
BGD,Bangladesh,2019,2.042253339272536,2.042253339272536,63.0,AS
BGD,Bangladesh,2021,2.087726901551478,2.087726901551478,63.0,AS
BGD,Bangladesh,2024,2.0889578510191105,2.0889578510191105,60.0,AS
BGR,Bulgaria,2019,1.9698672280613925,1.9698672280613925,65.0,EU
BGR,Bulgaria,2021,1.9265690394232664,1.9265690394232664,64.0,EU
BGR,Bulgaria,2024,1.8394426953008736,1.8394426953008736,68.0,EU
BHR,Bahrain,2019,3.037452089504785,3.037452089504785,42.0,AS
BHR,Bahrain,2021,2.958634926394474,2.958634926394474,40.0,AS
BHR,Bahrain,2024,2.423291001693096,2.423291001693096,49.0,AS
BIH,Bosnia and Herzegovina,2019,1.3372758202813095,1.3372758202813095,95.0,EU
BIH,Bosnia and Herzegovina,2021,1.3376810207034633,1.3376810207034633,94.0,EU
BIH,Bosnia and Herzegovina,2024,1.329936248503287,1.329936248503287,96.0,EU
BOL,Bolivia,2019,1.5300914960141498,1.5300914960141498,82.0,SA
BOL,Bolivia,2021,1.5175539322269649,1.5175539322269649,83.0,SA
