FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,TYPE,TYPE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2019,2021,2024
A,Annual,AGO,Angola,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,99.0,88.0,97.0
A,Annual,AGO,Angola,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.0529731878276192,1.113151139684886,1.0570199973200267
A,Annual,AGO,Angola,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,0.3708123147933345,0.7920579777942005,0.3991399812401873
A,Annual,ALB,Albania,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,86.0,84.0,64.0
A,Annual,ALB,Albania,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.1255941764636006,1.1388797638998884,1.203382319733709
A,Annual,ALB,Albania,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,0.8791592352452046,0.9721583472992184,1.4236762381359631
A,Annual,ARE,United Arab Emirates,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,54.0,71.0,72.0
A,Annual,ARE,United Arab Emirates,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.436895684317986,1.2319557434169683,1.1786019870048587
A,Annual,ARE,United Arab Emirates,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.058269790225902,1.623690203918778,1.2502139090340103
A,Annual,ARG,Argentina,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,45.0,38.0,30.0
A,Annual,ARG,Argentina,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.665701095837652,1.8247583678383856,1.9293191150905296
A,Annual,ARG,Argentina,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.659907670863564,5.773308574868699,6.505233805633709
A,Annual,ARM,Armenia,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,69.0,76.0,81.0
A,Annual,ARM,Armenia,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.241125460780469,1.186862438671635,1.1354888366343223
A,Annual,ARM,Armenia,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.6878782254632827,1.3080370707014477,0.9484218564402574
A,Annual,AUS,Australia,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,15.0,8.0,14.0
A,Annual,AUS,Australia,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.537211041475812,4.875062756182093,4.078886735061114
A,Annual,AUS,Australia,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,24.760477290330684,27.12543929327465,21.5522071454278
A,Annual,AUT,Austria,WEF_TTDI_NONLEISUREDEM,"Non-leisure tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,42.0,40.0,28.0
