Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,0.3708123147933345,1.0529731878276192,99.0,AF
AGO,Angola,2021,0.7920579777942005,1.113151139684886,88.0,AF
AGO,Angola,2024,0.3991399812401873,1.0570199973200267,97.0,AF
ALB,Albania,2019,0.8791592352452046,1.1255941764636006,86.0,EU
ALB,Albania,2021,0.9721583472992184,1.1388797638998884,84.0,EU
ALB,Albania,2024,1.4236762381359631,1.203382319733709,64.0,EU
ARE,United Arab Emirates,2019,3.058269790225902,1.436895684317986,54.0,AS
ARE,United Arab Emirates,2021,1.623690203918778,1.2319557434169683,71.0,AS
ARE,United Arab Emirates,2024,1.2502139090340103,1.1786019870048587,72.0,AS
ARG,Argentina,2019,4.659907670863564,1.665701095837652,45.0,SA
ARG,Argentina,2021,5.773308574868699,1.8247583678383856,38.0,SA
ARG,Argentina,2024,6.505233805633709,1.9293191150905296,30.0,SA
ARM,Armenia,2019,1.6878782254632827,1.241125460780469,69.0,AS
ARM,Armenia,2021,1.3080370707014477,1.186862438671635,76.0,AS
ARM,Armenia,2024,0.9484218564402574,1.1354888366343223,81.0,AS
AUS,Australia,2019,24.760477290330684,4.537211041475812,15.0,OC
AUS,Australia,2021,27.12543929327465,4.875062756182093,8.0,OC
AUS,Australia,2024,21.5522071454278,4.078886735061114,14.0,OC
AUT,Austria,2019,5.656005149691775,1.8080007356702528,42.0,EU
AUT,Austria,2021,5.410861035950589,1.7729801479929412,40.0,EU
AUT,Austria,2024,6.810562228508664,1.9729374612155235,28.0,EU
AZE,Azerbaijan,2019,0.329776790264956,1.047110970037851,101.0,AS
AZE,Azerbaijan,2021,0.5231357925850478,1.0747336846550068,99.0,AS
AZE,Azerbaijan,2024,0.459134025885568,1.0655905751265098,92.0,AS
BEL,Belgium,2019,7.261199966157696,2.037314280879671,35.0,EU
BEL,Belgium,2021,5.167223345461979,1.7381747636374256,41.0,EU
BEL,Belgium,2024,4.089323875727987,1.584189125103998,39.0,EU
BEN,Benin,2019,0.0600686170349597,1.0085812310049942,114.0,AF
BEN,Benin,2021,0.0562186729095686,1.0080312389870811,115.0,AF
BEN,Benin,2024,0.0626677051139399,1.0089525293019914,114.0,AF
BGD,Bangladesh,2019,1.2355653746310125,1.1765093392330015,80.0,AS
BGD,Bangladesh,2021,1.5154758233720942,1.2164965461960136,73.0,AS
BGD,Bangladesh,2024,1.032870435390838,1.1475529193415483,77.0,AS
BGR,Bulgaria,2019,2.6183401448123123,1.3740485921160446,57.0,EU
BGR,Bulgaria,2021,2.782785822751009,1.3975408318215727,55.0,EU
BGR,Bulgaria,2024,1.7277469751984826,1.246820996456926,59.0,EU
BHR,Bahrain,2019,1.765746655089398,1.2522495221556282,67.0,AS
BHR,Bahrain,2021,9.639688281573443,2.3770983259390635,24.0,AS
BHR,Bahrain,2024,1.4230991438647118,1.2032998776949588,65.0,AS
BIH,Bosnia and Herzegovina,2019,0.0181052763693925,1.0025864680527703,118.0,EU
BIH,Bosnia and Herzegovina,2021,0.0294508881897029,1.0042072697413862,118.0,EU
BIH,Bosnia and Herzegovina,2024,0.0624809558786295,1.0089258508398042,115.0,EU
BOL,Bolivia,2019,1.5983217733072743,1.2283316819010393,71.0,SA
BOL,Bolivia,2021,1.2472699872660893,1.1781814267522983,78.0,SA
BOL,Bolivia,2024,1.0005953830541223,1.1429421975791605,78.0,SA
BRA,Brazil,2019,12.170298085956324,2.738614012279476,23.0,SA
BRA,Brazil,2021,8.36259240466488,2.1946560578092686,28.0,SA
BRA,Brazil,2024,8.625904944220581,2.2322721348886545,24.0,SA
BRB,Barbados,2019,0.3032361008784858,1.043319442982641,103.0,SA
BRB,Barbados,2021,0.3724927574251182,1.0532132510607313,103.0,SA
BRB,Barbados,2024,0.384159365463106,1.0548799093518724,100.0,SA
BWA,Botswana,2019,0.3186256010124331,1.0455179430017765,102.0,AF
BWA,Botswana,2021,0.3575777186659885,1.0510825312379983,105.0,AF
BWA,Botswana,2024,0.2049891181402463,1.029284159734321,108.0,AF
CAN,Canada,2019,39.31388807577619,6.616269725110884,4.0,NA
CAN,Canada,2021,48.51184645853301,7.0,2.0,NA
CAN,Canada,2024,42.32488893007928,7.0,3.0,NA
CHE,Switzerland,2019,9.503766152036306,2.3576808788623294,29.0,EU
CHE,Switzerland,2021,8.30957094098762,2.187081562998231,29.0,EU
CHE,Switzerland,2024,6.179637329584777,1.8828053327978247,31.0,EU
CHL,Chile,2019,10.507739238770045,2.5011056055385774,26.0,SA
CHL,Chile,2021,8.196184669177764,2.170883524168252,30.0,SA
CHL,Chile,2024,3.2783340425096155,1.4683334346442307,44.0,SA
CHN,China,2019,57.52221659475391,7.0,1.0,AS
CHN,China,2021,40.40720330256981,6.77245761465283,3.0,AS
CHN,China,2024,28.502635698651453,5.07180509980735,4.0,AS
CIV,Cote d'Ivoire,2019,0.1121555660134673,1.0160222237162095,112.0,AF
CIV,Cote d'Ivoire,2021,0.1341836648988479,1.0191690949855496,112.0,AF
CIV,Cote d'Ivoire,2024,0.1225196864956006,1.0175028123565144,112.0,AF
CMR,Cameroon,2019,0.2930415144996425,1.041863073499949,104.0,AF
CMR,Cameroon,2021,0.2807297286713685,1.0401042469530526,107.0,AF
CMR,Cameroon,2024,0.2420041696642056,1.0345720242377436,103.0,AF
COL,Colombia,2019,18.92930114725244,3.70418587817892,16.0,SA
COL,Colombia,2021,11.37214218561586,2.624591740802265,21.0,SA
COL,Colombia,2024,10.272596021597405,2.467513717371057,23.0,SA
CRI,Costa Rica,2019,9.88700764527844,2.412429663611205,27.0,SA
CRI,Costa Rica,2021,7.180185857099588,2.025740836728513,33.0,SA
CRI,Costa Rica,2024,8.326063484824358,2.189437640689194,25.0,SA
CYP,Cyprus,2019,2.645071964990554,1.3778674235700792,56.0,EU
CYP,Cyprus,2021,2.5853265720434964,1.3693323674347853,57.0,EU
CYP,Cyprus,2024,1.3093371931726638,1.1870481704532376,71.0,EU
CZE,Czechia,2019,4.710361932240384,1.672908847462912,44.0,EU
CZE,Czechia,2021,3.275731137147423,1.4679615910210604,52.0,EU
CZE,Czechia,2024,2.028346652296244,1.289763807470892,54.0,EU
DEU,Germany,2019,36.77418486130552,6.253454980186503,5.0,EU
DEU,Germany,2021,24.44923679823961,4.492748114034231,11.0,EU
DEU,Germany,2024,28.01393856061332,5.00199122294476,8.0,EU
DNK,Denmark,2019,3.628136297227413,1.518305185318202,52.0,EU
DNK,Denmark,2021,3.5143384300090394,1.5020483471441484,50.0,EU
DNK,Denmark,2024,2.957135677327087,1.4224479539038697,46.0,EU
DOM,Dominican Republic,2019,10.63948374899464,2.5199262498563773,25.0,SA
DOM,Dominican Republic,2021,5.495359698100929,1.7850513854429897,39.0,SA
DOM,Dominican Republic,2024,5.499236646017516,1.7856052351453595,33.0,SA
DZA,Algeria,2019,0.4985000982907512,1.0712142997558216,93.0,AF
DZA,Algeria,2021,0.4341527846113768,1.062021826373054,100.0,AF
DZA,Algeria,2024,0.5799752191633003,1.0828536027376143,88.0,AF
ECU,Ecuador,2019,1.3785840273447951,1.196940575334971,77.0,SA
ECU,Ecuador,2021,1.3377490721700942,1.1911070103100134,75.0,SA
ECU,Ecuador,2024,1.8727164973873696,1.2675309281981957,56.0,SA
EGY,"Egypt, Arab Rep.",2019,2.323893881985932,1.331984840283705,60.0,AF
EGY,"Egypt, Arab Rep.",2021,3.7854225738704144,1.5407746534100593,48.0,AF
EGY,"Egypt, Arab Rep.",2024,3.3665951088621915,1.4809421584088844,43.0,AF
ESP,Spain,2019,27.856837435480013,4.979548205068573,11.0,EU
