Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,2.1996588617309056,2.1996588617309056,116.0,AF
AGO,Angola,2021,2.2084694344181304,2.2084694344181304,116.0,AF
AGO,Angola,2024,2.584327694863733,2.584327694863733,112.0,AF
ALB,Albania,2019,3.559038292855645,3.559038292855645,80.0,EU
ALB,Albania,2021,3.609038292855646,3.609038292855646,78.0,EU
ALB,Albania,2024,4.557484230246427,4.557484230246427,39.0,EU
ARE,United Arab Emirates,2019,5.450301745795475,5.450301745795475,1.0,AS
ARE,United Arab Emirates,2021,5.482267604826311,5.482267604826311,1.0,AS
ARE,United Arab Emirates,2024,5.666704610545069,5.666704610545069,2.0,AS
ARG,Argentina,2019,4.182596396283404,4.182596396283404,45.0,SA
ARG,Argentina,2021,4.182596396283404,4.182596396283404,48.0,SA
ARG,Argentina,2024,4.161462656651873,4.161462656651873,53.0,SA
ARM,Armenia,2019,4.031368339996174,4.031368339996174,59.0,AS
ARM,Armenia,2021,3.589050058057848,3.589050058057848,80.0,AS
ARM,Armenia,2024,3.3308927034914326,3.3308927034914326,87.0,AS
AUS,Australia,2019,4.814749183498584,4.814749183498584,14.0,OC
AUS,Australia,2021,5.34082297204484,5.34082297204484,2.0,OC
AUS,Australia,2024,4.847784702273202,4.847784702273202,16.0,OC
AUT,Austria,2019,4.73930310798864,4.73930310798864,21.0,EU
AUT,Austria,2021,4.796626896534894,4.796626896534894,19.0,EU
AUT,Austria,2024,4.804809445061124,4.804809445061124,18.0,EU
AZE,Azerbaijan,2019,3.8499968139237977,3.8499968139237977,68.0,AS
AZE,Azerbaijan,2021,3.8632126729546346,3.8632126729546346,65.0,AS
AZE,Azerbaijan,2024,3.70421808155007,3.70421808155007,75.0,AS
BEL,Belgium,2019,5.179101060773205,5.179101060773205,4.0,EU
BEL,Belgium,2021,5.229816919804042,5.229816919804042,4.0,EU
BEL,Belgium,2024,5.230545669101213,5.230545669101213,3.0,EU
BEN,Benin,2019,3.416262087710244,3.416262087710244,84.0,AF
BEN,Benin,2021,3.4074515150230185,3.4074515150230185,85.0,AF
BEN,Benin,2024,3.320887838780829,3.320887838780829,89.0,AF
BGD,Bangladesh,2019,2.369552250736311,2.369552250736311,113.0,AS
BGD,Bangladesh,2021,2.369552250736311,2.369552250736311,113.0,AS
BGD,Bangladesh,2024,2.116520331335742,2.116520331335742,117.0,AS
BGR,Bulgaria,2019,4.657907739320899,4.657907739320899,29.0,EU
BGR,Bulgaria,2021,4.715231527867156,4.715231527867156,26.0,EU
BGR,Bulgaria,2024,4.72922831771403,4.72922831771403,25.0,EU
BHR,Bahrain,2019,3.288292785057332,3.288292785057332,87.0,AS
BHR,Bahrain,2021,3.314724503119006,3.314724503119006,87.0,AS
BHR,Bahrain,2024,3.566723368384044,3.566723368384044,82.0,AS
BIH,Bosnia and Herzegovina,2019,3.546228637985101,3.546228637985101,81.0,EU
BIH,Bosnia and Herzegovina,2021,3.596228637985101,3.596228637985101,79.0,EU
BIH,Bosnia and Herzegovina,2024,4.63199529615961,4.63199529615961,37.0,EU
BOL,Bolivia,2019,3.4645128897470507,3.4645128897470507,82.0,SA
BOL,Bolivia,2021,3.473323462434276,3.473323462434276,83.0,SA
BOL,Bolivia,2024,3.477080503132354,3.477080503132354,83.0,SA
BRA,Brazil,2019,4.60553666805583,4.60553666805583,34.0,SA
BRA,Brazil,2021,4.60553666805583,4.60553666805583,35.0,SA
BRA,Brazil,2024,4.692587852981859,4.692587852981859,32.0,SA
BRB,Barbados,2019,3.994461995947747,3.994461995947747,62.0,SA
BRB,Barbados,2021,4.007677854978584,4.007677854978584,61.0,SA
BRB,Barbados,2024,4.607606899855961,4.607606899855961,38.0,SA
BWA,Botswana,2019,2.4882414768078847,2.4882414768078847,110.0,AF
BWA,Botswana,2021,2.5146731948695584,2.5146731948695584,109.0,AF
BWA,Botswana,2024,2.532045495276247,2.532045495276247,113.0,AF
CAN,Canada,2019,4.004066177888075,4.004066177888075,61.0,NA
CAN,Canada,2021,4.013441177888075,4.013441177888075,59.0,NA
CAN,Canada,2024,4.0009777080067,4.0009777080067,62.0,NA
CHE,Switzerland,2019,4.659480930816984,4.659480930816984,27.0,EU
CHE,Switzerland,2021,4.672696789847821,4.672696789847821,31.0,EU
CHE,Switzerland,2024,4.666793810244063,4.666793810244063,34.0,EU
CHL,Chile,2019,4.212564544522037,4.212564544522037,43.0,SA
CHL,Chile,2021,4.212564544522037,4.212564544522037,44.0,SA
CHL,Chile,2024,4.710710242395648,4.710710242395648,29.0,SA
CHN,China,2019,3.8652785829095007,3.8652785829095007,66.0,AS
CHN,China,2021,3.9181420190328486,3.9181420190328486,64.0,AS
CHN,China,2024,3.891399250575776,3.891399250575776,65.0,AS
CIV,Cote d'Ivoire,2019,2.8663214542294444,2.8663214542294444,99.0,AF
CIV,Cote d'Ivoire,2021,2.85751088154222,2.85751088154222,99.0,AF
CIV,Cote d'Ivoire,2024,2.8906867384603445,2.8906867384603445,106.0,AF
CMR,Cameroon,2019,1.688118662697354,1.688118662697354,119.0,AF
CMR,Cameroon,2021,1.696929235384579,1.696929235384579,119.0,AF
CMR,Cameroon,2024,1.72584706595727,1.72584706595727,119.0,AF
COL,Colombia,2019,4.406723240872852,4.406723240872852,37.0,SA
COL,Colombia,2021,4.426547029419107,4.426547029419107,38.0,SA
COL,Colombia,2024,4.444060525953659,4.444060525953659,42.0,SA
CRI,Costa Rica,2019,4.106256390845587,4.106256390845587,53.0,SA
CRI,Costa Rica,2021,4.099648461330169,4.099648461330169,55.0,SA
CRI,Costa Rica,2024,4.083352568228815,4.083352568228815,59.0,SA
CYP,Cyprus,2019,4.712746911363878,4.712746911363878,23.0,EU
CYP,Cyprus,2021,4.770070699910133,4.770070699910133,24.0,EU
