FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,TYPE,TYPE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2019,2021,2024
A,Annual,AGO,Angola,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,104.0,111.0,116.0
A,Annual,AGO,Angola,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.618592770750984,3.126209831749643,2.393353572666667
A,Annual,AGO,Angola,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.618592770750984,3.126209831749643,2.393353572666667
A,Annual,ALB,Albania,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,42.0,30.0,29.0
A,Annual,ALB,Albania,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.949668160234349,5.015074664968011,5.186456466645672
A,Annual,ALB,Albania,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.949668160234349,5.015074664968011,5.186456466645672
A,Annual,ARE,United Arab Emirates,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,95.0,89.0,22.0
A,Annual,ARE,United Arab Emirates,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.888752174754252,4.006891623759146,5.385834931622386
A,Annual,ARE,United Arab Emirates,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.888752174754252,4.006891623759146,5.385834931622386
A,Annual,ARG,Argentina,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,62.0,64.0,42.0
A,Annual,ARG,Argentina,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.709284129861264,4.538767154415477,4.770905114612881
A,Annual,ARG,Argentina,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.709284129861264,4.538767154415477,4.770905114612881
A,Annual,ARM,Armenia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,65.0,51.0,44.0
A,Annual,ARM,Armenia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.646015162554549,4.754757351864234,4.765145215198127
A,Annual,ARM,Armenia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.646015162554549,4.754757351864234,4.765145215198127
A,Annual,AUS,Australia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,40.0,49.0,35.0
A,Annual,AUS,Australia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.9774231683282215,4.809400443579072,4.899688273352045
A,Annual,AUS,Australia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.9774231683282215,4.809400443579072,4.899688273352045
A,Annual,AUT,Austria,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,33.0,27.0,19.0
A,Annual,AUT,Austria,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.08494285813451,5.065326864066615,5.441504499116633
A,Annual,AUT,Austria,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,5.08494285813451,5.065326864066615,5.441504499116633
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,58.0,65.0,61.0
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.781902800990847,4.528205226803535,4.498402339933208
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.781902800990847,4.528205226803535,4.498402339933208
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,77.0,83.0,85.0
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.466890050404459,4.220973653031308,4.031713779619931
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.466890050404459,4.220973653031308,4.031713779619931
A,Annual,BEN,Benin,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,116.0,109.0,111.0
A,Annual,BEN,Benin,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.176722311658174,3.2802619452867554,2.6631987312358216
A,Annual,BEN,Benin,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.176722311658174,3.2802619452867554,2.6631987312358216
A,Annual,BGD,Bangladesh,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,103.0,105.0,106.0
A,Annual,BGD,Bangladesh,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.6463298777081454,3.481505575017097,3.2260594561437728
A,Annual,BGD,Bangladesh,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.6463298777081454,3.481505575017097,3.2260594561437728
A,Annual,BGR,Bulgaria,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,55.0,57.0,60.0
A,Annual,BGR,Bulgaria,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.837633549870794,4.658576371746829,4.519841272596036
A,Annual,BGR,Bulgaria,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.837633549870794,4.658576371746829,4.519841272596036
A,Annual,BHR,Bahrain,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,88.0,41.0,36.0
A,Annual,BHR,Bahrain,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.210132540385465,4.911521589308458,4.856863667282019
A,Annual,BHR,Bahrain,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.210132540385465,4.911521589308458,4.856863667282019
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,69.0,98.0,109.0
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.563113386017019,3.7517358549748097,2.8241528280000003
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.563113386017019,3.7517358549748097,2.8241528280000003
A,Annual,BOL,Bolivia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,93.0,85.0,93.0
A,Annual,BOL,Bolivia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.9289119026140056,4.189197604975983,3.7652690030023694
A,Annual,BOL,Bolivia,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,3.9289119026140056,4.189197604975983,3.7652690030023694
A,Annual,BRA,Brazil,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,78.0,78.0,79.0
A,Annual,BRA,Brazil,WEF_TTDI_TTDI_B_06,"Prioritization of Travel and Tourism, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.4552212272659215,4.309395796725837,4.162113087301969
