Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
AGO,Angola,2019,3.618592770750984,3.618592770750984,104.0,AF
AGO,Angola,2021,3.126209831749643,3.126209831749643,111.0,AF
AGO,Angola,2024,2.393353572666667,2.393353572666667,116.0,AF
ALB,Albania,2019,4.949668160234349,4.949668160234349,42.0,EU
ALB,Albania,2021,5.015074664968011,5.015074664968011,30.0,EU
ALB,Albania,2024,5.186456466645672,5.186456466645672,29.0,EU
ARE,United Arab Emirates,2019,3.888752174754252,3.888752174754252,95.0,AS
ARE,United Arab Emirates,2021,4.006891623759146,4.006891623759146,89.0,AS
ARE,United Arab Emirates,2024,5.385834931622386,5.385834931622386,22.0,AS
ARG,Argentina,2019,4.709284129861264,4.709284129861264,62.0,SA
ARG,Argentina,2021,4.538767154415477,4.538767154415477,64.0,SA
ARG,Argentina,2024,4.770905114612881,4.770905114612881,42.0,SA
ARM,Armenia,2019,4.646015162554549,4.646015162554549,65.0,AS
ARM,Armenia,2021,4.754757351864234,4.754757351864234,51.0,AS
ARM,Armenia,2024,4.765145215198127,4.765145215198127,44.0,AS
AUS,Australia,2019,4.9774231683282215,4.9774231683282215,40.0,OC
AUS,Australia,2021,4.809400443579072,4.809400443579072,49.0,OC
AUS,Australia,2024,4.899688273352045,4.899688273352045,35.0,OC
AUT,Austria,2019,5.08494285813451,5.08494285813451,33.0,EU
AUT,Austria,2021,5.065326864066615,5.065326864066615,27.0,EU
AUT,Austria,2024,5.441504499116633,5.441504499116633,19.0,EU
AZE,Azerbaijan,2019,4.781902800990847,4.781902800990847,58.0,AS
AZE,Azerbaijan,2021,4.528205226803535,4.528205226803535,65.0,AS
AZE,Azerbaijan,2024,4.498402339933208,4.498402339933208,61.0,AS
BEL,Belgium,2019,4.466890050404459,4.466890050404459,77.0,EU
BEL,Belgium,2021,4.220973653031308,4.220973653031308,83.0,EU
BEL,Belgium,2024,4.031713779619931,4.031713779619931,85.0,EU
BEN,Benin,2019,3.176722311658174,3.176722311658174,116.0,AF
BEN,Benin,2021,3.2802619452867554,3.2802619452867554,109.0,AF
BEN,Benin,2024,2.6631987312358216,2.6631987312358216,111.0,AF
BGD,Bangladesh,2019,3.6463298777081454,3.6463298777081454,103.0,AS
BGD,Bangladesh,2021,3.481505575017097,3.481505575017097,105.0,AS
BGD,Bangladesh,2024,3.2260594561437728,3.2260594561437728,106.0,AS
